layer 1: 3 new, 4/479001600 visited, 0s
layer 2: 6 new, 10/479001600 visited, 0s
layer 3: 12 new, 22/479001600 visited, 0s
layer 4: 24 new, 46/479001600 visited, 0s
layer 5: 48 new, 94/479001600 visited, 0s
layer 6: 90 new, 184/479001600 visited, 0s
layer 7: 168 new, 352/479001600 visited, 0s
layer 8: 314 new, 666/479001600 visited, 0s
layer 9: 572 new, 1238/479001600 visited, 0s
layer 10: 1033 new, 2271/479001600 visited, 0s
layer 11: 1850 new, 4121/479001600 visited, 0s
layer 12: 3263 new, 7384/479001600 visited, 0s
layer 13: 5701 new, 13085/479001600 visited, 0s
layer 14: 9863 new, 22948/479001600 visited, 0s
layer 15: 16759 new, 39707/479001600 visited, 0s
layer 16: 27866 new, 67573/479001600 visited, 0s
layer 17: 45291 new, 112864/479001600 visited, 0s
layer 18: 72099 new, 184963/479001600 visited, 0s
layer 19: 112521 new, 297484/479001600 visited, 0s
layer 20: 171929 new, 469413/479001600 visited, 0s
layer 21: 257112 new, 726525/479001600 visited, 0s
layer 22: 377904 new, 1104429/479001600 visited, 0s
layer 23: 545894 new, 1650323/479001600 visited, 0s
layer 24: 773038 new, 2423361/479001600 visited, 1s
layer 25: 1075171 new, 3498532/479001600 visited, 1s
layer 26: 1473589 new, 4972121/479001600 visited, 1s
layer 27: 1986076 new, 6958197/479001600 visited, 2s
layer 28: 2630262 new, 9588459/479001600 visited, 3s
layer 29: 3432644 new, 13021103/479001600 visited, 4s
layer 30: 4416186 new, 17437289/479001600 visited, 6s
layer 31: 5590709 new, 23027998/479001600 visited, 8s
layer 32: 6971232 new, 29999230/479001600 visited, 10s
layer 33: 8572605 new, 38571835/479001600 visited, 14s
layer 34: 10385539 new, 48957374/479001600 visited, 18s
layer 35: 12397678 new, 61355052/479001600 visited, 23s
layer 36: 14595522 new, 75950574/479001600 visited, 29s
layer 37: 16933499 new, 92884073/479001600 visited, 35s
layer 38: 19356689 new, 112240762/479001600 visited, 43s
layer 39: 21817886 new, 134058648/479001600 visited, 53s
layer 40: 24222746 new, 158281394/479001600 visited, 63s
layer 41: 26460935 new, 184742329/479001600 visited, 74s
layer 42: 28458315 new, 213200644/479001600 visited, 87s
layer 43: 30093680 new, 243294324/479001600 visited, 101s
layer 44: 31217047 new, 274511371/479001600 visited, 115s
layer 45: 31732310 new, 306243681/479001600 visited, 130s
layer 46: 31542112 new, 337785793/479001600 visited, 146s
layer 47: 30496145 new, 368281938/479001600 visited, 161s
layer 48: 28508698 new, 396790636/479001600 visited, 175s
layer 49: 25523039 new, 422313675/479001600 visited, 189s
layer 50: 21432297 new, 443745972/479001600 visited, 202s
layer 51: 16273946 new, 460019918/479001600 visited, 212s
layer 52: 10527747 new, 470547665/479001600 visited, 220s
layer 53: 5424324 new, 475971989/479001600 visited, 225s
layer 54: 2143159 new, 478115148/479001600 visited, 228s
layer 55: 658412 new, 478773560/479001600 visited, 229s
layer 56: 170062 new, 478943622/479001600 visited, 229s
layer 57: 42140 new, 478985762/479001600 visited, 230s
layer 58: 10995 new, 478996757/479001600 visited, 230s
layer 59: 3283 new, 479000040/479001600 visited, 230s
layer 60: 1066 new, 479001106/479001600 visited, 230s
layer 61: 361 new, 479001467/479001600 visited, 230s
layer 62: 100 new, 479001567/479001600 visited, 230s
layer 63: 23 new, 479001590/479001600 visited, 230s
layer 64: 6 new, 479001596/479001600 visited, 230s
layer 65: 3 new, 479001599/479001600 visited, 230s
layer 66: 1 new, 479001600/479001600 visited, 230s
layer 67: 0 new, 479001600/479001600 visited, 230s
