n=4: max min_c=0 (['sigma_n', 'refl_h1', 'random_2']), max mean_c=1/2 (sigma_n)
n=5: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=0 (sigma_n)
n=6: max min_c=1 (['refl_h2']), max mean_c=1 (sigma_n)
n=7: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=5/7 (refl_h2)
n=8: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=3/2 (refl_h2)
n=9: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=7/9 (refl_h2)
n=10: max min_c=1 (['refl_h2', 'refl_h4']), max mean_c=8/5 (refl_h2)
n=11: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=15/11 (refl_h3)
n=12: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=13/6 (refl_h3)
n=13: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=19/13 (refl_h3)
n=14: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=16/7 (refl_h3)
n=15: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=31/15 (refl_h4)
n=16: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=23/8 (refl_h4)
n=17: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=37/17 (refl_h4)
n=18: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=3 (refl_h4)
n=19: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=53/19 (refl_h5)
n=20: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=18/5 (refl_h5)
n=21: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=61/21 (refl_h5)
n=22: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=41/11 (refl_h5)
n=23: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=81/23 (refl_h6)
n=24: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=13/3 (refl_h6)
n=25: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=91/25 (refl_h6)
n=26: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=58/13 (refl_h6)
n=27: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=115/27 (refl_h7)
n=28: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=71/14 (refl_h7)
n=29: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=127/29 (refl_h7)
n=30: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=26/5 (refl_h7)
n=31: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=5 (refl_h8)
n=32: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=93/16 (refl_h8)
n=33: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=169/33 (refl_h8)
n=34: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=101/17 (refl_h8)
n=35: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=201/35 (refl_h9)
n=36: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=59/9 (refl_h9)
n=37: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=217/37 (refl_h9)
n=38: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=127/19 (refl_h9)
n=39: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=253/39 (refl_h10)
n=40: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=73/10 (refl_h10)
n=41: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=271/41 (refl_h10)
n=42: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=52/7 (refl_h10)
n=43: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=311/43 (refl_h11)
n=44: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=177/22 (refl_h11)
n=45: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=331/45 (refl_h11)
n=46: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=188/23 (refl_h11)
n=47: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=375/47 (refl_h12)
n=48: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=211/24 (refl_h12)
n=49: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=397/49 (refl_h12)
n=50: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=223/25 (refl_h12)
n=51: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=445/51 (refl_h13)
n=52: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=124/13 (refl_h13)
n=53: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=469/53 (refl_h13)
n=54: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=29/3 (refl_h13)
n=55: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=521/55 (refl_h14)
n=56: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=72/7 (refl_h14)
n=57: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=547/57 (refl_h14)
n=58: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=302/29 (refl_h14)
n=59: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=603/59 (refl_h15)
n=60: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=331/30 (refl_h15)
n=61: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=631/61 (refl_h15)
n=62: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=346/31 (refl_h15)
n=63: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=691/63 (refl_h16)
n=64: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=377/32 (refl_h16)
n=65: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=721/65 (refl_h16)
n=66: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=131/11 (refl_h16)
n=67: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=785/67 (refl_h17)
n=68: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=213/17 (refl_h17)
n=69: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=817/69 (refl_h17)
n=70: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=443/35 (refl_h17)
n=71: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=885/71 (refl_h18)
n=72: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=239/18 (refl_h18)
n=73: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=919/73 (refl_h18)
n=74: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=496/37 (refl_h18)
n=75: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=991/75 (refl_h19)
n=76: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=533/38 (refl_h19)
n=77: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1027/77 (refl_h19)
n=78: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=184/13 (refl_h19)
n=79: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1103/79 (refl_h20)
n=80: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=591/40 (refl_h20)
n=81: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1141/81 (refl_h20)
n=82: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=611/41 (refl_h20)
n=83: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1221/83 (refl_h21)
n=84: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=326/21 (refl_h21)
n=85: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1261/85 (refl_h21)
n=86: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=673/43 (refl_h21)
n=87: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1345/87 (refl_h22)
n=88: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=179/11 (refl_h22)
n=89: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1387/89 (refl_h22)
n=90: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=82/5 (refl_h22)
n=91: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1475/91 (refl_h23)
n=92: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=783/46 (refl_h23)
n=93: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=49/3 (refl_h23)
n=94: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=806/47 (refl_h23)
n=95: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1611/95 (refl_h24)
n=96: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=853/48 (refl_h24)
n=97: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1657/97 (refl_h24)
n=98: max min_c=1 (['refl_h2', 'refl_h4', 'refl_h6']), max mean_c=877/49 (refl_h24)
n=99: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h2']), max mean_c=1753/99 (refl_h25)
n=100: max min_c=0 (['sigma_n', 'refl_h1', 'refl_h3']), max mean_c=463/25 (refl_h25)
